District,STATE,TEHSIL,Shape_Leng,Shape_Area,SR_SEX RATIO
P>LAKK>D,KERALA,ALATHUR,150475.24090999999,578919605.39199995995,1058
ERN>KULAM,KERALA,ALUVA,155736.40339699999,550828741.98500001431,1027
PATTANAMTHITTA,KERALA,ADOOR,110539.20932100000,270281877.99599999189,1145
>LAPPUZHA,KERALA,AMBALAPPUZHA,92255.87173519999,187397416.17699998617,1064
TRISS@R,KERALA,CHAVAKKAD,376808.06941900001,1270626860.08999991417,1181
KOTTAYAM,KERALA,CHANGANASSERY,125737.82781700000,269182222.98799997568,1063
>LAPPUZHA,KERALA,CHENGANNUR,81001.79014110002,146732103.62999999523,1161
>LAPPUZHA,KERALA,CHERTHALA,94685.60625660000,333937588.86900001764,1043
THIRUVANANTHAPURAM,KERALA,CHIRAYINKEEZHU,98320.21284209999,224061572.18099999428,1195
P>LAKK>D,KERALA,CHITTUR,227752.44271300000,1161171890.82999992371,1033
IDUKKI,KERALA,DEVIKULAM,244025.09582200000,1225880631.45000004768,995
MALAPPURAM,KERALA,ERNAD,201424.31134799999,515656834.41699993610,1052
K>SARAGOD,KERALA,HOSDURG,179894.39881899999,448297115.48799997568,1115
IDUKKI,KERALA,IDUKKI,178668.61095900001,749574385.98899996281,1012
KANN@R,KERALA,IRITTY,183135.40761900001,744204692.79900014400,1091
KOTTAYAM,KERALA,KANJIRAPPALLY,183295.73977700001,451957699.57400000095,1040
>LAPPUZHA,KERALA,KARTHIKAPPALLY,85895.44497040000,237099519.50799998641,1149
THIRUVANANTHAPURAM,KERALA,KATTAKADA,130220.89715200001,416240939.13400000334,1041
ERN>KULAM,KERALA,KANAYANNUR,118972.96692200001,318124142.48900002241,1034
KANN@R,KERALA,KANNUR,122735.92505500000,301260806.10600000620,1180
KOLLAM,KERALA,KARUNAGAPPALLY,87025.14715490000,183184652.05500000715,1099
K>SARAGOD,KERALA,KASARAGOD,174379.31945600000,616541838.94500005245,1049
ERN>KULAM,KERALA,KOCHI,106445.81298200000,144504360.78799998760,1025
KOLLAM,KERALA,KOLLAM,115252.34427000000,394569815.83999997377,1101
MALAPPURAM,KERALA,KONDOTTY,105578.66234900001,254458127.18999999762,1052
PATTANAMTHITTA,KERALA,KONNI,290761.17776100000,1485114904.55999994278,1091
ERN>KULAM,KERALA,KOTHAMANGALAM,238004.03378100001,975153376.33299982548,1015
KOLLAM,KERALA,KOTTARAKKARA,187637.68064400001,568900033.66700005531,1139
KOTTAYAM,KERALA,KOTTAYAM,146452.48175400001,516002306.50099998713,1044
KOZHIKODE,KERALA,QUILANDY,264954.14358300000,673311720.58599996567,1121
PATTANAMTHITTA,KERALA,KOZHENCHERY,93756.68791769999,181542926.85899999738,1146
KOZHIKODE,KERALA,KOZHIKODE,179806.60820900000,543805118.55200004578,1074
TRISS@R,KERALA,KODUNGALLUR,84292.32117260000,205508334.39199998975,1139
KOLLAM,KERALA,KUNNATHUR,75700.72701649999,141972335.23699998856,1103
ERN>KULAM,KERALA,KUNNATHUNAD,137716.74249500001,484449746.64099997282,1012
>LAPPUZHA,KERALA,KUTTANAD,91384.64555630001,311324871.45700001717,1075
KOTTAYAM,KERALA,MEENACHIL,173394.85857499999,689558274.15799999237,1015
WAYANAD,KERALA,MANANTHAVADY,175764.50206299999,745412265.46800005436,1024
>LAPPUZHA,KERALA,MAVELIKKARA,96118.53391380000,237253990.29800000787,1170
PATTANAMTHITTA,KERALA,MALLAPPALLY,86247.13462590000,160478911.27399998903,1105
K>SARAGOD,KERALA,MANJESWARAN,144865.32400100000,383803482.23900002241,1049
P>LAKK>D,KERALA,MANNARKAD,245016.29567200001,1217721608.10999989510,1063
TRISS@R,KERALA,MUKUNDAPURAM,149046.47324799999,435516448.52100008726,1096
ERN>KULAM,KERALA,MUVATTUPUZHA,152176.06776500001,446715861.95099997520,1017
THIRUVANANTHAPURAM,KERALA,NEDUMANGAD,150348.45976200001,840827390.95700001717,1105
THIRUVANANTHAPURAM,KERALA,NEYYATTINKARA,126299.23202300000,284320417.94300001860,1041
MALAPPURAM,KERALA,NILAMBUR,218644.29444600001,1385550070.24000000954,1096
P>LAKK>D,KERALA,OTTAPPALAM,132942.48610200000,479397370.10799998045,1102
IDUKKI,KERALA,PEERUMADE,298497.65571700002,1337022133.19000005722,1010
P>LAKK>D,KERALA,PALAKKAD,170851.07890800000,723530052.34300005436,1048
ERN>KULAM,KERALA,PARAVUR,76791.30572670000,195295055.29500001669,1047
P>LAKK>D,KERALA,PATTAMBI,121650.73941400000,376983297.06699997187,1102
KOLLAM,KERALA,PATHANAPURAM,128665.13107900000,267205384.11300000548,1125
KANN@R,KERALA,PAYYANUR,162368.56932800001,507758531.94700002670,1091
MALAPPURAM,KERALA,PERINTHALMANNA,174980.66034999999,511081839.53500002623,1104
MALAPPURAM,KERALA,PONNANI,76496.21344250000,204157117.33599996567,1147
KOLLAM,KERALA,PUNALUR,204127.88018499999,997014038.88300001621,1125
PATTANAMTHITTA,KERALA,RANNI,197390.12392400001,448497177.77600002289,1091
WAYANAD,KERALA,SULTHANBATHERY,171542.21604500001,776226256.95899987221,1029
KOZHIKODE,KERALA,THAMARASSERY,242389.11249900001,568048623.24100005627,1074
TRISS@R,KERALA,TALAPPILLY,138650.67973700000,483270383.31999999285,1100
KANN@R,KERALA,THALASSERY,215536.09747099999,590156712.91799998283,1136
KANN@R,KERALA,TALIPARAMBA,199035.79648799999,833382104.66700005531,1091
MALAPPURAM,KERALA,TIRUR,145593.95953299999,456464150.53700000048,1129
MALAPPURAM,KERALA,TIRURANGADI,115367.48100400000,261846953.95600000024,1090
PATTANAMTHITTA,KERALA,THIRUVALLA,99671.56113870000,170861805.99200001359,1145
THIRUVANANTHAPURAM,KERALA,THIRUVANANTHAPURAM,112260.13681600000,323713793.56800001860,1058
IDUKKI,KERALA,THODUPUZHA,139186.84362100001,543208919.48099994659,1012
TRISS@R,KERALA,THRISSUR,162226.48102300000,671658294.02400004864,1076
IDUKKI,KERALA,UDUMBANCHOLA,184429.52302600001,588909979.96099996567,1005
KOZHIKODE,KERALA,VADAKARA,152085.99610300001,579707013.82200002670,1134
KOTTAYAM,KERALA,VAIKOM,98292.83761350000,327082387.22100001574,1035
WAYANAD,KERALA,VYTHIRI,166868.10710900000,620793109.70500004292,1053
THIRUVANANTHAPURAM,KERALA,VARKALA,87766.61400700000,171818320.66600000858,1195
K>SARAGOD,KERALA,VELLARIKUNDU,161251.01439100000,544356835.23500001431,1115
